"nom de l'article","0","masque","Fake / Fiable","OP VS INFO","DEMINAGE","BIAIS","Couleur","Hexa","vra/faux (niveau 1)","analyse (simple niveau 2)","analyse fine (niveau 3)","BIAIS","Type","Phrase","Catégorie","Définitions","","","","","","","","","","","","",""
"THEME 1 - CLIMATOSCEPTIQUES","","","","","","","","","","","","","","","source","argument","","","","","","","","","","","","",""
"Climat : pourquoi l'apocalypse n'aura pas lieu","chap01_01","chap01_01m","Fake","chap01_02","Média","","rouge","F34334","","x","x","x","source fiable, mais avec une ligne éditoriale et orientation politique très marquée à droite.  Se présente lui-même comme ""le magazine de la droite qui s'assume"" et  ""magazine d'actualité d'opinion"" et non pas un magazine d'informations","""Vous avez cliqué sur""","argument","argument rhétorique :  Moyen auquel on recourt pour convaincre quelqu'un, pour l'amener à modifier sa conduite. Ici, l'argument ne s'appuie pas sur des preuves et n'est pas tiré de faits. Accusation sans démontration de preuves. ","","","","","","","","","","","","",""
"","","","","chap01_03","Rubrique","","jaune","FEEA3B","","","x","","","","","","","","","","","","","","","","","",""
"","","","","chap01_04","Affirmation","","vert clair","CCDC3B","","","x","","Affirmation","","","","","","","","","","","","","","","",""
"","","","","","Argumentaire","","vert foncé","4DAE4F","","","","","rhétorique du complot","","","Rhétorique du complot : une base reposant sur des faits authentiques partant de la réalité (le réchauffement climatique) agrémenté d'une promesse de contre-vérité ou le démenti de la version officielle de l’explication des faits.
Ici, on retrouve les procédés rhétoriques réccurents des thèses complotistes : 
- un usage de champs lexicaux de la vérité, de la sécurité : ""sont faux""
- un spectateur/lecteur inclus ""qu'il nous faudrait suivre""
- Emploi du conditionnel
- des coupables récurrents, difficiles à interroger : ""les discours alarmistes"" / ""la supposée catastrophe""","","","","","","","","","","","","",""
"Fraude scientifique : ""La fraude scientifique et la corruption sont-elles devenues la norme en 2021 en France ?""","chap01_02","chap01_02m","Fake","chap01_02","Argument d'autorité","","rouge","F34334","x","","x","x","source auteur (argument d'autorité)","","","","","","","","","","","","","","","",""
"","","","","chap01_03","Organisateur","","orange","FF9702","","","","","peu d'information sur l'organisateur (pas une org officielle)","","","Argument d'autorité :  l’argument d’autorité se fonde sur le prestige de la personne qui émet une proposition, plutôt que sur les preuves que l’on peut apporter à l’appui d’une proposition.

""Denis Aigret : médecin urgentiste"" => statut de la personne, sorte de prophète auto-proclamé. La confiance lui est accordée car Denis Aigret se présente comme ""médecin urgentiste"", crédibilité de ses propos appuyée par son statut professionnel

L’argument d’autorité est aussi nommé, plus rarement, argumentum ad verecundiam (verecundia, « respect de quelqu’un, de quelque chose »).

En général, cet argument est fondé sur le prestige de cette autorité, la confiance qu’on lui fait ou le respect qu’elle suscite. Cependant, le prestige ou l’expertise d’une personne n’est pas un fondement suffisant pour affirmer qu’une proposition ou une affirmation est vraie.","","","","","","","","","","","","",""
"","","","","chap01_04","Rhétorique complotiste","","jaune","FEEA3B","","","","","Question sans réponse","","","La rhétorique complotiste se compose de différents procédés argumentatifs :
- Par la question rhétorique posée, idée que les citoyens sont bernés et des “moutons”
- Spectateur interpelé par la forme interrogative
- Remise en cause des élites et scientifiques accusés de ""fraude"" et de ""corruption""","","","","","","","","","","","","",""
"","","","","","Emojis","","vert clair","CCDC3B","","","","","emojis ? ","","","Émoji, est un terme issu du japonais pour désigner les pictogrammes utilisés dans les messages électroniques et les pages web japonaises","","","","","","","","","","","","",""
"Feux californiens : le ""dérèglement climatique"" a bon dos","chap01_03","chap01_03m","Fake","chap01_02","Argument d'autorité","","rouge","F34334","","x","","","Source auteur se présentant comme expert","","","","","","","","","","","","","","","",""
